title;url;emails;;;;;;;;;;
Etude de faisabilité et de construction d'un marché interprovincial à Ngouri;https://devbusiness.un.org/notices/wb-p2106545;yangjoel@yahoo.fr recrutements@prolac.td;;;;;;;;;;
Contratação de Empresa de Engenharia Civil para construção de 2.700 Cisternas com capacidade para 16000 litros de água;https://devbusiness.un.org/notices/wb-p2106544;anafbritopb@gmail.com pbruralcpl@gmail.com. pbruralcpl@gmail.com;;;;;;;;;;
Etude de faisabilité pour la construction et reabilitation de réseaux électriques de Moyen et Basse tention - EAGB;https://devbusiness.un.org/notices/wb-p2106542;puasee@outlook.pt puasee@outlook.pt;;;;;;;;;;
Recruitment of Social Development Specialist;https://devbusiness.un.org/notices/wb-p2106540;serkan.ucar@uab.gov.tr irfan.kurnaz@uab.gov.tr;;;;;;;;;;
Consulting Services for the Preparation of Detailed Designs and Technical Specifications for Energy Efficiency Measures and Distributed Solar PV Systems for Public Buildings in Grenada; Saint Lucia and Guyana;https://devbusiness.un.org/notices/wb-p2106539;procurementbids@oecs.int procurementbids@oecs.int judith.ephraim@oecs.int;;;;;;;;;
CS02 Construction Supervision Consultant;https://devbusiness.un.org/notices/adb-p2106538;No emails found;;;;;;;;;;
SUDA/LCIP/QCBS-03 Coastal Zone Spatial Development Plan of Georgia;https://devbusiness.un.org/notices/adb-p2106537;No emails found;;;;;;;;;;
KEEP; Phase 5 | Decarbonization of Kazakhstan’s Heating Sector;https://devbusiness.un.org/notices/adb-p2106536;No emails found;;;;;;;;;
CRLIWM/SD 43-47 Resettlement Implementation Non-government Organization (ADB Package No. CRLIWM/LGED/RR/RNGO/SD-01);https://devbusiness.un.org/notices/adb-p2106535;No emails found;;;;;;;;;;
PMO-DI-CS01-5 Yidu Sub-Project - Engineering Design Consulting Services;https://devbusiness.un.org/notices/adb-p2106534;No emails found;;;;;;;;;;
CONSULTANT INDIVIDUEL CHARGE DE L’ELABORATION DES MODES DE GESTION DES INFRASTRUCTURES HYDRO AGRICOLES ET PASTORALES DU PIDACC/BN;https://devbusiness.un.org/notices/afdb-p2106533;pidacc.rci@gmail.com pidacc.rci@gmail.com y.zehia@eauxetforets.gouv.ci pidacc.rci@gmail.com y.zehia@eauxetforets.gouv.ci;;;;;;;;;;
Construction of Regional Customer Service Centres;https://devbusiness.un.org/notices/afdb-p2106532;hnjie@nawec.gm asallah@nawec.gm mfsanyang@nawec.gm;;;;;;;;;;
Implementación de las herramientas tecnológicas de soporte del sistema de control fiscal remoto;https://devbusiness.un.org/notices/idb-p2106550;bid.uep@contraloria.gov.co;;;;;;;;;;
Adquisición de equipamiento y mobiliario para el proyecto “Mejoramiento de los servicios de Educación Superior Tecnológica del IESTP Santiago Antúnez de Mayolo; del Distrito y provincia de Huancayo; Departamento de Junín”;https://devbusiness.un.org/notices/idb-p2106541;adquisiciones@ue118.gob.pe adquisiciones@ue118.gob.pe adquisiciones@ue118.gob.pe. adquisiciones@ue118.gob.pe adquisiciones@ue118.gob.pe;;;;;;;;
Procurement of agricultural machinery and equipment;https://devbusiness.un.org/notices/un-p2106528;tender@investcom.tj procurement.casp@mail.ru procurement.lpdp@mail.ru;;;;;;;;;;
UPDATE- IT Service Management Subscription and Support;https://devbusiness.un.org/notices/aiib-p2100927;No emails found;;;;;;;;;;
UPDATE - Climate Assessment and Green and Smart Logistics Park Planning and Design;https://devbusiness.un.org/notices/aiib-p2106269;hmqq2017@163.com wangd@tenderingcctc.com may@tenderingcctc.com;;;;;;;;;;
Agriculture Portfolio and Research Analyst;https://devbusiness.un.org/notices/afdb-p2106522;p.boahen@afdb.org d.benniran@afdb.org p.boahen@afdb.org d.benniran@afdb.org;;;;;;;;;;
1C - TOD Cell for MOHUA Support;https://devbusiness.un.org/notices/adb-p2106521;No emails found;;;;;;;;;;
Recrutement d'un consultant National pour le renforcement des capacités - échanges de connaissances et d'apprentissage;https://devbusiness.un.org/notices/wb-p2106290;coordonnateurprrc@gmail.com rcrpcomores@gmail.com coordonnateurprrc@gmail.com rcrpcomores@gmail.com coordonnateurprrc@gmail.com;;;;;;;;;;
Recrutement d'un consultant international pour le renforcement des capacités - échanges de connaissances et d'apprentissage;https://devbusiness.un.org/notices/wb-p2106291;coordonnateurprrc@gmail.com rcrpcomores@gmail.com coordonnateurprrc@gmail.com rcrpcomores@gmail.com coordonnateurprrc@gmail.com;;;;;;;;;;
Kyrgyz Republic: Project Implementation Support (Re-Tender);https://devbusiness.un.org/notices/ebrd-p2106519;tilla1111@mail.ru;;;;;;;;;;
Recruitment of Environmental Specialist;https://devbusiness.un.org/notices/wb-p2106294;ihale.dky@csb.gov.tr ihale.dky@csb.gov.tr;;;;;;;;;;
Social Development Specialist;https://devbusiness.un.org/notices/wb-p2106296;pd.rutdp@lged.gov.bd dpd1.mgsp@lged.gov.bd;;;;;;;;;;
Modernización y Optimización de Arquitectura Oracle;https://devbusiness.un.org/notices/bcie-p2106518;adqinstitucionales@bcie.org adqinstitucionales@bcie.org;;;;;;;;;;
Contratação de uma firma para a elaboração do documento de Salvaguardas Sociais e Ambientais;https://devbusiness.un.org/notices/wb-p2106297;pac.mescti@mescti.gov.ao ndilu.nkula@mescti.gov.ao;;;;;;;;;;
Consultancy Services for Security Risk Management (SRMC);https://devbusiness.un.org/notices/wb-p2106298;procurement.eardip@gmail.com eardippiu23@gmail.com procurement.eardip@gmail.com;;;;;;;;;;
Junior Financial Management Specialist;https://devbusiness.un.org/notices/wb-p2106299;pd.rutdp@lged.gov.bd dpd1.mgsp@lged.gov.bd;;;;;;;;;;
RECRUTEMENT D’UN CABINET POUR LA REVISION DU CADRE LEGAL ET REGLEMENTAIRE DOMANIAL ET FONCIER DE LA REPUBLIQUE DE DJIBOUTI;https://devbusiness.un.org/notices/wb-p2106300;procurement@arulos.dj procurement@arulos.dj abdourahman.ali5@gmail.com;;;;;;;;;;
GENERAL PROCUREMENT NOTICE - Kyrgyz Republic: Bazar-Korgon Water Sub-Project;https://devbusiness.un.org/notices/ebrd-p2106517;Tilla1111@mail.ru;;;;;;;;;;
Recruitment of Occupational and Safety Expert;https://devbusiness.un.org/notices/wb-p2106309;ihale.dky@csb.gov.tr ihale.dky@csb.gov.tr;;;;;;;;;;
Réalisation de l'Etude d'Impact Environnemental et Social (EIES) des 6 sections de la RN1 sur environ 700 km de routes bitumées y compris 400 km de routes en terre moderne et 728 km de routes rurales qui y sont liées;https://devbusiness.un.org/notices/wb-p2106310;pce_lon_niger@yahoo.com danissa_sam@yahoo.fr isboudel@yahoo.fr danissa_sam@yahoo.fr isboudel@yahoo.fr danissa_sam@yahoo.fr;;;;;;;;;;
Development and implementation of SIMple service Modules;https://devbusiness.un.org/notices/wb-p2106312;nuno.gomes@mf.gov.cv Josel.Fernandes@mf.gov.cv ildo.a.varela@mf.gov.cv Edna.Fernandes@mf.gov.cv nuno.gomes@mf.gov.cv Josel.Fernandes@mf.gov.cv ildo.a.varela@mf.gov.cv Edna.Fernandes@mf.gov.cv nuno.gomes@mf.gov.cv;;;;;;;;;;
Recrutement d'un cabinet pour le contrôle/supervision des travaux de Digue de Walia;https://devbusiness.un.org/notices/wb-p2106292;projetpilier.tchad@gmail.comahmatguihiniguet pitchelle03@gmail.com ahmatguihiniguet@gmail.com;;;;;;;;;;
Adquisición de equipo Ofimático para la Administración Aduanera (Computadoras de escritorio; Computadoras portátiles; impresoras; escáneres y lectores de código de barra; data show; pantallas inteligentes; monitores; tabletas electrónicas);https://devbusiness.un.org/notices/idb-p2106526;UEP.adquisiciones3@aduanas.gob.hn uep.adquisiciones3@aduanas.gob.hn;;;
Market Outreach Event;https://devbusiness.un.org/notices/mcc-p2105374;No emails found;;;;;;;;;;
DEVELOPMENT OF 5 YEAR STRATEGIC PLAN 2025-2029 FOR MECCNAR;https://devbusiness.un.org/notices/wb-p2106293;sanyang.abuhamza@gmail.com tjeng@wacameccnar.gm ebrima1999@yahoo.co.uk mlsanyang@wacameccnar.gm;;;;;;;;;;
Inspection de la sécurité routière et l’évaluation de l’accidentalité le long de la Route Nationale RN N° 1; pour le compte du Projet d’Intégration et de Connectivite du sud Niger (PICSN).;https://devbusiness.un.org/notices/wb-p2106313;pce_lon_niger@yahoo.com danissa_sam@yahoo.fr isboudel@yahoo.fr danissa_sam@yahoo.fr;;;;;;;;;
Réalisation du Plan d'Action de Réinstallation (PAR) des 6 sections de la RN1 sur environ 700 km de routes bitumées y compris 400 km de routes en terre moderne et 728 km de routes rurales qui y sont liées;https://devbusiness.un.org/notices/wb-p2106314;pce_lon_niger@yahoo.com danissa_sam@yahoo.fr isboudel@yahoo.fr danissa_sam@yahoo.fr isboudel@yahoo.fr danissa_sam@yahoo.fr;;;;;;;;;;
Recrutement d’une ONG pour la mise en œuvre des activités VBG/AES/HS et le PMPP dans les régions de Kayes et Koulikoro;https://devbusiness.un.org/notices/wb-p2106315;sirasoum2009@hotmail.fr mariamsanogo862@yahoo.fr fatoumata.bocoum@prapsmali.ml mouscoul79@yahoo.fr mouscoul79@yahoo.fr;;;;;;;;;;
Recrutement d'un consultant individuel pour la formation sur la mise à jour du document cadre de la planification urbaine de la ville de N'Djamena;https://devbusiness.un.org/notices/wb-p2106316;projetpilier.tchad@gmail.com ahmatguihiniguet@gmail.com pitchelle03@gmail.com ahmatguihiniguet@gmail.com;;;;;;;;;;
Environmental Specialist;https://devbusiness.un.org/notices/wb-p2106295;pd.rutdp@lged.gov.bd dpd1.mgsp@lged.gov.bd;;;;;;;;;;
Full Feasibility Study; Costing; and Technical Designs for the Ministry of Fisheries and Blue Economy; Federal Government of Somalia - HQ Office in Abdiaziz District; Benadir Region (New Reconstruction);https://devbusiness.un.org/notices/wb-p2106308;ssfdp.mfmbe@gmail.com addow.ssfdp@gmail.com addow.ssfdp@gmail.com;;;;;;
Recrutement d’une ONG pour la mise en œuvre des activités VBG/AES/HS et le PMPP dans les régions de Sikasso; Ségou et Mopti;https://devbusiness.un.org/notices/wb-p2106307;sirasoum2009@hotmail.fr mariamsanogo862@yahoo.fr fatoumata.bocoum@prapsmali.ml mouscoul79@yahoo.fr mouscoul79@yahoo.fr;;;;;;;;;
Monitoring & Evaluation (M&E) Specialist;https://devbusiness.un.org/notices/wb-p2106306;pd.rutdp@lged.gov.bd dpd1.mgsp@lged.gov.bd;;;;;;;;;;
Recrutement d’une ONG pour la mise en œuvre des activités VBG/AES/HS et le PMPP dans les régions du Nord;https://devbusiness.un.org/notices/wb-p2106305;sirasoum2009@hotmail.fr mariamsanogo862@yahoo.fr fatoumata.bocoum@prapsmali.ml mouscoul79@yahoo.fr mouscoul79@yahoo.fr;;;;;;;;;;
Consulting Services for the Preparation of Detailed Designs and Technical Specifications for Energy Efficiency Measures and Distributed Solar PV Systems for Public Buildings in Grenada; Saint Lucia and Guyana.;https://devbusiness.un.org/notices/wb-p2106304;procurementbids@oecs.int judith.ephraim@oecs.int procurementbids@oecs.int;;;;;;;;;
Training of water supply systems operators on Management; Operation and Maintenance of Water Supply Systems;https://devbusiness.un.org/notices/wb-p2106303;procurement.pas.dpopn@gmail.com. procurement.pas.dpopn@gmail.com rdrmocala@gmail.com;;;;;;;;;
Gestión del conocimiento del Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF);https://devbusiness.un.org/notices/idb-p2106525;adquisición.innovacion@agricultura.gob.do;;;;;;;;;;
Development and implementation of SIMple's Administrative and Financial Modules;https://devbusiness.un.org/notices/wb-p2106302;nuno.gomes@mf.gov.cv Josel.Fernandes@mf.gov.cv ildo.a.varela@mf.gov.cv Edna.Fernandes@mf.gov.cv nuno.gomes@mf.gov.cv Josel.Fernandes@mf.gov.cv ildo.a.varela@mf.gov.cv Edna.Fernandes@mf.gov.cv nuno.gomes@mf.gov.cv;;;;;;;;;;
MCA-Indonesia II: Independent Reviewers Board Members (“Second Level Authority”) for the Bid Challenge System;https://devbusiness.un.org/notices/mcc-p2106286;mcaindonesiapa@dt-global.com mcaindonesiapa@dt-global.com.;;;;;;;;;;
Assistants techniques (QUATRE (04)) en gestion des Risques environnementaux et sociaux pour Vatovavy; Fitovinany/Atsimo Atsinanana; Analanjirofo/Atsinanana; et Atsimo Andrefana/Anosy.;https://devbusiness.un.org/notices/wb-p2106301;procurement@pic.mg. procurement@pic.mg;;;;;;;
Sellection of International expert to support the Economic Inclusion Program (EIP) in Tajikistan.;https://devbusiness.un.org/notices/wb-p2106311;bsiyovush@gmail.com jahonbek@gmail.com bsiyovush@gmail.com;;;;;;;;;;
Requalification of 9 primary schools in Cabo Delgado; transforming them into Basic Schools;https://devbusiness.un.org/notices/wb-p2106325;aquisições.minedh@gmail.com aquisicoes.minedh@gmail.com. aquisicoes.minedh@gmail.com marcelaviacao@gmail.com;;;;;;;;;
Acquisition et installation des équipements de patissier boulanger;https://devbusiness.un.org/notices/wb-p2106324;fodefca_2007@yahoo.fr frejuskpadonou@yahoo.fr oladikpukpo@yahoo.fr;;;;;;;;;;
Project Focal Point in Jubaland FMS; Somalia;https://devbusiness.un.org/notices/wb-p2106515;procurement.ea-rdip@moct.gov.so procurement.ea-rdip@moct.gov.so dg@moct.gov.so;;;;;;;;;
Adquirir um (1) veículo para realizar o monitoramento em campo e intervenções (remoção de fatores de degradação; enriquecimento. adensamento e etc.) em áreas e regeneração natural em Unidades de Conservação (UC). (SEDAM);https://devbusiness.un.org/notices/wb-p2106514;alsilva@conservation.org aslcomprasbr@conservation.org alsilva@conservation.org. aslcomprasbr@conservation.org;;;;;;;;;
Procurement of LSD Vaccine for Large Ruminants;https://devbusiness.un.org/notices/wb-p2106513;rahimmoi@yahoo.com lddp@dls.gov.bd. lddp@dls.gov.bd;;;;;;;;;;
Procurement of water pollution measuring devices for the Environmental Monitoring Department;https://devbusiness.un.org/notices/wb-p2106512;satylkanova@water.gov.kg crwsp@water.gov.kg;;;;;;;;;;
Responsable informatique du projet PIC3;https://devbusiness.un.org/notices/wb-p2106511;procurement@pic.mg procurement@pic.mg.;;;;;;;;;;
Audit Environnemental et Social du Projet;https://devbusiness.un.org/notices/afdb-p2106317;cgp.aefpf@gmail.com coord.cgp@gmail.com claverntirampeba2021@gmail.com;;;;;;;;;;
Service de gardiennage;https://devbusiness.un.org/notices/wb-p2106323;coordonnateur@prodigy.gov.mg procurement@prodigy.gov.mg coordonnateur@prodigy.gov.mg;;;;;;;;;;
Execução das Obras do Corredor Aricanduva;https://devbusiness.un.org/notices/wb-p2106322;licitacoesbrtaricanduva@spobras.sp.gov.br licitacoesbrtaricanduva@spobras.sp.gov.br rmdias@spobras.sp.gov.br;;;;;;;;;;
Fairway Maintenance on Quantity Based Dredging of Majhaua-Ghazipur Stretch (115 km) on National Waterway-1;https://devbusiness.un.org/notices/wb-p2106320;vc.iwai@nic.in iwaipmuskp@gmail.com;;;;;;;;;;
DISEÑO Y MEJORAMIENTO DE 37 CENTROS EDUCATIVOS EN MUNICIPIOS DE POBREZA MULTIDIMENSIONAL EN LOS DEPARTAMENTOS DE SANTA ANA; SONSONATE; LA LIBERTAD; CUSCATLÁN; CHALATENANGO; LA PAZ Y MORAZÁN;https://devbusiness.un.org/notices/idb-p2106516;juan.flamenco@mined.gob.sv;;;;;
Procurement of Galvanized Steel Poles for Medium Voltage (MV) and Low Voltage (LV) Distribution Overhead Lines;https://devbusiness.un.org/notices/wb-p2106319;ozigboemmanu@gmail.com eozigbo@edsa.sl richardgoba@edsa.sl gobarichard@gmail.com aleksandarnikolic@edsa.sl theophilusamara@edsa.sl aleksandarnikolic@edsa.sl;;;;;;;;;;
Purchase of Ductile Iron Valves; Pipe Fittings; Appendages and Accessories;https://devbusiness.un.org/notices/idb-p2106510;procurementwsmp@gmail.com. procurementwsmp@gmail.com;;;;;;;;
Upgrade of Data Protection Office IT Systems for Registration; Data Protection Register; Complaints; Compliance and related functions;https://devbusiness.un.org/notices/wb-p2106318;udap-govnet@nita.go.ug robert.gumisiriza@nita.go.ug edmond.macheli@nita.go.ug;;;;;;;
General Procurement Notice (GPN);https://devbusiness.un.org/notices/wb-p2106328;mesfin@id.gov.et;;;;;;;;;;
General Procurement Notice (GPN);https://devbusiness.un.org/notices/wb-p2106329;engjmwakio@gmail.com;;;;;;;;;;
Provision of Cleaning and Utility Services for MCA-Indonesia II Jakarta Office;https://devbusiness.un.org/notices/mcc-p2105378;mcaindonesiapa@dt-global.com.;;;;;;;;;;
The Provision of Travel Agent Services for MCA-Indonesia II Jakarta Office;https://devbusiness.un.org/notices/mcc-p2105377;mcaindonesiapa@dt-global.com.;;;;;;;;;;
Construction and Completion of the 15.5 km of Upgraded 2-lane National Road on Upolu Island;https://devbusiness.un.org/notices/adb-p2106285;No emails found;;;;;;;;;;
Georgia: Specialised Machinery For Landfill Operation;https://devbusiness.un.org/notices/ebrd-p2106284;t.isakadze@waste.gov.ge;;;;;;;;;;
Moldova: Individual Consultant- Solid Waste Technical Expert - New Tender;https://devbusiness.un.org/notices/ebrd-p2106282;nicolae.arnaut@onipm.gov.md;;;;;;;;;;
Mongolia: New Choir-Sainshand Transmission Line And Substations;https://devbusiness.un.org/notices/ebrd-p2106281;tuvshinjargal@energy.gov.mn;;;;;;;;;;
Hiring a Consultant to Support in Preparation of Lot 4 Left Bank Structures bidding documents and assistance during tendering for Rogun Hydropower Plant Project ; Tajikistan;https://devbusiness.un.org/notices/isdb-p2106280;EAnwar@isdb.org arkenzhegulov@isdb.org eanwar@isdb.org;;;;;;;;;
Provisión y Montaje Equip. Mobiliario Interior-Exterior Edificio Sede MADES-PRY;https://devbusiness.un.org/notices/un-p2106276;adquisiciones-pnud.py@undp.org adquisiciones-pnud.py@undp.org adquisiciones-pnud.py@undp.org;;;;;;;;;;
CONSULTANCY SERVICES TO ASSESS THE EFFECTIVENESS OF LICENSED BUYING COMPANIES (LBCs) IN THE INTERNAL MARKETING OF COCOA IN GHANA.;https://devbusiness.un.org/notices/afdb-p2106275;cosisp@cocobod.gh;;;;;;;;;;
PROVISION OF TECHNICAL ASSISTANCE FOR NCHADS-SI HIV PROGRAM;https://devbusiness.un.org/notices/gn-p2106283;kaheanhprok@nchads.org veasna_khem@nchads.org csophea@nchads.org kaheanhprok@nchads.org veasna_khem@nchads.org csophea@nchads.org veasna_khem@nchads.org kaheanhprok@nchads.org csophea@nchads.org;;;;;;;;;;
CONSULTANCY SERVICES FOR ASSESSMENT OF THE EFFECTIVENESS OF PRODUCTIVITY IMPROVEMENT PROGRAMS IN GHANA’S COCOA SECTOR;https://devbusiness.un.org/notices/afdb-p2106273;cosisp@cocobod.gh;;;;;;;;;;
Expert Technique devant appuyer l’Unité de Conseil et de Coordination du Partenariat Public Privé; « UC-PPP » au Ministère du Plan;https://devbusiness.un.org/notices/afdb-p2106271;cfef@cfef.cd;;;;;;;;;
Spécialiste en ingénierie juridique dans la mise en place des Partenariats Public-Privé devant appuyer l’Unité de Conseil et de Coordination du Partenariat Public-Privé « UC-PPP » au sein du Ministère du Plan;https://devbusiness.un.org/notices/afdb-p2106270;cfef@cfef.cd;;;;;;;;;;
BEO: Apoyar al Ministerio de Justicia y Transparencia Institucional para la construcción colectiva del enfoque de cuidados en Bolivia; enmarcado en la Convención Interamericana sobre la Protección de Derechos Humanos de las Personas Mayores;https://devbusiness.un.org/notices/idb-p2106268;No emails found;;;;;;;;;
UPDATE- Improvement of Roads Within Imphal City with Rigid Pavement Including Concrete Lined Drains;https://devbusiness.un.org/notices/aiib-p2098583;eapmanipur@gmail.com eapmanipur@gmail.com.;;;;;;;;;;
ACTUALIZADO- ADQUISICIÓN DE EQUIPAMIENTO Y MOBILIARIO PARA EL PROYECTO “MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN SUPERIOR TECNOLÓGICA DEL IEST 4 DE JUNIO DE 1821; DISTRITO DE JAÉN; PROVINCIA DE JAEN; DEPARTAMENTO DE CAJAMARCA”;https://devbusiness.un.org/notices/idb-p2089558;adquisiciones@pmesut.gob.pe adquisiciones@pmesut.gob.pe adquisiciones@pmesut.gob.pe adquisiciones@pmesut.gob.pe adquisiciones@pmesut.gob.pe jguevara@pmesut.gob.pe;;;;;;;
ACTUALIZADO - CONSTRUCCIÓN PARQUE URBANO DEL BICENTENARIO BARRIO LOS OLMOS;https://devbusiness.un.org/notices/idb-p2096072;corredorurbano.sucre@gmail.com corredorurbano.sucre@gmail.com;;;;;;;;;;
UPDATE - DESIGN BUILD SERVICES FOR THE REFURBISHMENT OF PLANT AND EQUIPMENT AT THE NORTH OROPOUCHE WATER TREATMENT PLANT;https://devbusiness.un.org/notices/idb-p2096886;tenders@nipdec.com;;;;;;;;;;
Audit comptable et Financier du Projet de Digitalisation des Paiements Gouvernementaux des Pays de l’Union du Fleuve Mano-UFM (DiGiGov) – Exercices allant de juillet 2023 à juin 2024 et de juillet 2024 à juin 2025;https://devbusiness.un.org/notices/afdb-p2106266;passationbad@ucepguinee.org;;;;;;;;;;
FIRME CHARGEE DE LA REALISATION DE L’ETUDE SUR LES BESOINS EN COMPETENCES PROFESSIONNELLES ET METIERS DES SECTEURS PORTEURS;https://devbusiness.un.org/notices/afdb-p2106265;cep.rcejps@gmail.com cep.rcejps@gmail.com;;;;;;;;;;
Specialist for Development of Innovation Ecosystem and International Science; Technology and Innovation (STI) Cooperation;https://devbusiness.un.org/notices/wb-p2105985;oleksandr.radchenko@uiherp.org;;;;;;;;;
Recruitment of Technical Advisor on Pay and Grading;https://devbusiness.un.org/notices/wb-p2105984;serprecruitment@mof.gov.so recruitment@ncsc.gov.so amamaalin@gmail.com;;;;;;;;;;
Recrutements des consultants (3) individuels pour l'évaluation d'impact (baseline; endline) appuyés par des enquêteurs;https://devbusiness.un.org/notices/wb-p2105983;cn@pfss-comores.org;;;;;;;;;
Especialista en Operación y Mantenimiento de Plantas de Tratamiento de Agua Potable;https://devbusiness.un.org/notices/wb-p2105982;procesosseguridadhidrica6680@gmail.com manuel.martinez@sag.gob.hn;;;;;;;;;;
Consultancy Services for National Social Safeguard Specialist under the Liberia Electricity Sector Strengthening and Access Project (LESSAP);https://devbusiness.un.org/notices/wb-p2105981;projectsprocure@lecliberia.com lecprojects@lecliberia.com mfarley@lecliberia.com;;;;;;;;;;
ACTUALIZADO - Proceso SEPA VUCE-570-LPI-B - EXADATA (server + licencias de super cluster) - para fortalecimiento de terceros organismos - PREFECTURA NACIONAL ARGENTINA;https://devbusiness.un.org/notices/idb-p2096895;adquisicionesvuce@produccion.gob.ar. adquisicionesvuce@produccion.gob.ar;;;;;;;;;;
Etudes techniques et contrôle-surveillance des travaux du forage pilote Christine (forage positif);https://devbusiness.un.org/notices/wb-p2105979;fatoumata.bocoum@prapsmali.ml dbakary57@yahoo.fr mouscoul79@yahoo.fr;;;;;;;;;;
Selection of Service Provider for operating VLTC at Barisal Division;https://devbusiness.un.org/notices/wb-p2105978;pd.earn@dyd.gov.bd pd.earn@dyd.gov.bd;;;;;;;;;;
Contratacion de 2 consultores Cr para control y seguimiento COMAP;https://devbusiness.un.org/notices/wb-p2105977;ucp.llamados@mef.gub.uy ucp.llamados@mef.gub.uy ucp.llamados@mef.gub.uy ucp.llamados@mef.gub.uy ucp.llamados@mef.gub.uy;;;;;;;;;;
Assistant Technique en charge de la réforme de la gestion de la trésorerie pour le Comité de pilotage et d’Orientation de la Réforme des Finances Publiques « COREF ».;https://devbusiness.un.org/notices/afdb-p2106262;cfef@cfef.cd;;;;;;;;;;
Recrutement d'un expert PPP pour le développement du marché régional des engrais;https://devbusiness.un.org/notices/wb-p2105976;procurement@araa.org ctienon@araa.org lbarnabo@araa.org mnakorba@araa.org procurement@araa.org;;;;;;;;;;
Mobilisation des prestataires pour la formation professionnelle dans la région de Tombouctou;https://devbusiness.un.org/notices/wb-p2105975;fatoumata.bocoum@prapsmali.ml mansakeitaprapsc4@gmail.com mouscoul79@yahoo.fr;;;;;;;;;;
Contrôle et surveillance des travaux des pistes de transhumance;https://devbusiness.un.org/notices/wb-p2105974;fatoumata.bocoum@prapsmali.ml dbakary57@yahoo.fr mouscoul79@yahoo.fr;;;;;;;;;;
Sélection d’un cabinet chargé de l’assistance technique pour le renforcement des capacités en suivi environnemental; aux évaluations environnementales et aux urgences environnementales;https://devbusiness.un.org/notices/wb-p2105973;passationdemarches.senrmmeddte@gmail.com marchés.senrmenvironnement23@gmail.com senrm.environnement23@gmail.com;;;;;;;;;
Public Sector Reform Advisor-Ministry of Labour-Galmudug state of Somalia;https://devbusiness.un.org/notices/wb-p2105987;Publicprocurement@galmudugmof.so dg@molsa.gm.so serprecruitment@mof.gov.so amamaalin@gmail.com;;;;;;;;;;
Fiscalização de 1 Escola do tipo T12 do I Ciclo do Ensino Secundário na Província do Namibe;https://devbusiness.un.org/notices/wb-p2105988;obras@pat-med.org obras@pat-med.org;;;;;;;;;;
Assistant Technique en charge de la réforme de la comptabilité publique pour le Comité de pilotage et d’Orientation de la Réforme des Finances Publiques « COREF;https://devbusiness.un.org/notices/afdb-p2106261;cfef@cfef.cd;;;;;;;;;;
